id,language,buggy_code,fixed_code,description,label,time_to_fix,complexity_score,lines_of_code,bug_type,severity_level,date_reported,date_fixed,fix_status,developer_id
23,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,294,1.42,18,Runtime,Critical,2020-09-23,2023-12-26,Pending,1290
24,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,95,5.71,6,Compilation,Critical,2023-05-04,2024-11-18,In-Progress,2036
25,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,178,2.69,50,Syntax,Low,2021-08-22,2022-09-07,Pending,3553
26,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,142,2.75,12,Syntax,Critical,2020-07-06,2021-02-07,Pending,1598
27,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,135,5.28,18,Logic,High,2021-01-30,2020-08-21,Fixed,2034
28,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,184,9.71,11,Syntax,Low,2022-12-12,2021-05-22,Pending,4491
29,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,18,8.41,6,Compilation,Critical,2020-10-06,2021-02-10,Pending,4763
30,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,174,1.78,42,Runtime,High,2022-04-29,2023-01-28,Fixed,4395
31,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,295,2.6,7,Compilation,Critical,2024-08-21,2024-08-11,Fixed,1988
32,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,266,5.2,17,Runtime,Critical,2024-09-24,2020-01-17,Pending,2316
33,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,52,6.1,36,Logic,Low,2021-04-21,2021-03-06,In-Progress,2831
34,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,161,7.95,10,Security,Critical,2020-11-12,2023-09-10,Verified,4914
35,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,162,9.45,33,Logic,High,2022-10-18,2023-10-09,Verified,4893
36,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,161,7.1,22,Logic,Low,2020-05-11,2021-07-01,Verified,4301
37,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,166,8.24,28,Security,Low,2023-05-02,2023-11-26,Verified,2906
38,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,206,7.81,16,Performance,High,2024-10-11,2023-07-03,Pending,4064
39,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,250,9.29,49,Performance,Low,2023-12-25,2021-08-07,Verified,1254
40,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,65,5.59,21,Logic,Critical,2022-01-08,2022-09-20,Verified,2958
41,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,106,7.34,38,Logic,Low,2020-01-08,2020-04-16,In-Progress,3893
42,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,270,9.58,40,Security,Medium,2021-08-24,2024-06-09,Verified,4219
43,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,87,4.97,50,Syntax,Critical,2024-05-22,2022-07-10,In-Progress,2053
44,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,153,5.06,23,Security,Low,2024-04-27,2023-02-11,Pending,2830
45,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,208,3.5,49,Security,Critical,2024-01-31,2024-08-31,Pending,4203
46,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,241,6.14,13,Performance,High,2020-09-12,2024-03-10,Pending,3822
47,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,211,2.87,7,Syntax,High,2020-04-10,2022-09-01,In-Progress,3384
48,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,278,8.89,15,Logic,Low,2021-07-21,2024-02-29,Pending,2983
49,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,170,7.28,19,Logic,Low,2022-06-29,2023-06-05,Fixed,2070
50,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,265,5.57,6,Runtime,Medium,2020-08-26,2022-01-04,Pending,1447
51,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,102,5.5,34,Performance,Low,2024-08-16,2022-11-24,Pending,3166
52,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,44,1.45,38,Runtime,Critical,2022-10-05,2024-07-06,In-Progress,2533
53,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,295,6.19,15,Runtime,Medium,2020-09-05,2021-08-25,Pending,2002
54,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,157,9.14,13,Runtime,Low,2021-11-18,2023-02-02,Verified,1935
55,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,221,3.81,31,Runtime,Low,2020-07-30,2023-02-21,Fixed,1363
56,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,219,9.75,18,Syntax,Medium,2020-06-18,2023-05-08,Pending,1211
57,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,12,6.76,26,Logic,Medium,2020-05-09,2021-07-03,In-Progress,3150
58,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,118,4.66,9,Runtime,Critical,2021-10-02,2023-02-25,Fixed,4273
59,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,158,8.22,12,Syntax,Medium,2020-06-11,2024-06-28,Verified,1553
60,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,124,2.42,32,Performance,High,2024-12-12,2023-06-18,Pending,2198
61,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,152,5.38,27,Runtime,Critical,2020-10-24,2024-12-05,Verified,3701
62,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,79,2.32,46,Compilation,Critical,2024-07-10,2024-08-08,Pending,4962
63,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,32,3.75,44,Compilation,Medium,2022-05-30,2023-02-08,Fixed,1262
64,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,10,1.69,42,Performance,Critical,2020-04-21,2020-04-11,Pending,1657
65,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,141,3.69,47,Performance,Low,2020-07-13,2020-02-25,Pending,1029
66,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,57,6.0,9,Compilation,High,2022-05-11,2021-05-31,Verified,3699
67,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,264,9.27,16,Runtime,High,2022-12-21,2020-09-27,In-Progress,1262
68,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,216,4.5,21,Runtime,Medium,2022-04-29,2021-02-28,Pending,1018
69,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,126,8.9,30,Compilation,Critical,2021-07-02,2022-10-14,Pending,1082
70,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,193,1.1,14,Syntax,Critical,2020-05-20,2024-01-19,Fixed,2605
71,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,237,7.04,7,Performance,Low,2024-09-21,2023-05-12,Verified,1794
72,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,10,4.34,10,Compilation,Low,2023-04-11,2024-09-27,In-Progress,1375
73,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,211,4.49,29,Compilation,Low,2022-10-24,2024-10-05,In-Progress,1701
74,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,258,4.95,29,Runtime,Critical,2024-11-11,2021-11-02,Pending,1708
75,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,173,4.5,19,Runtime,Medium,2023-08-22,2020-07-22,Pending,3167
76,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,186,4.53,21,Runtime,Critical,2024-06-02,2021-07-20,Fixed,4125
77,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,266,3.51,8,Logic,High,2020-06-27,2023-11-21,Fixed,1303
78,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,134,8.55,16,Runtime,Medium,2022-04-26,2020-02-14,Verified,3574
79,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,125,8.56,46,Logic,High,2021-04-14,2024-05-27,Pending,3751
80,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,88,3.04,33,Runtime,High,2024-06-18,2022-10-30,Verified,1229
81,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,245,7.51,35,Syntax,High,2023-03-02,2022-05-31,In-Progress,3902
82,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,130,5.35,32,Runtime,Critical,2023-12-02,2022-01-07,Verified,4299
83,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,144,3.63,15,Compilation,Medium,2020-12-18,2022-04-17,Fixed,1617
84,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,89,8.25,23,Logic,Medium,2020-07-19,2020-12-11,In-Progress,4796
85,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,117,2.53,16,Compilation,Medium,2021-08-24,2022-03-11,Pending,1063
86,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,182,1.71,10,Logic,Low,2023-02-03,2023-08-24,Fixed,4303
87,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,176,6.22,39,Syntax,Critical,2021-12-16,2021-09-11,In-Progress,2497
88,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,51,8.66,18,Performance,High,2020-10-03,2020-05-12,Verified,1334
89,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,34,5.21,10,Security,High,2021-01-05,2024-11-22,Pending,2633
90,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,28,8.85,5,Runtime,Critical,2024-11-15,2024-07-31,In-Progress,1374
91,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,70,8.0,41,Security,Medium,2024-02-25,2024-03-31,Verified,3956
92,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,90,3.56,43,Syntax,Low,2024-11-14,2020-01-24,In-Progress,2974
93,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,221,9.12,36,Compilation,Medium,2022-01-15,2023-06-21,Verified,1309
94,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,27,7.55,16,Compilation,Low,2023-01-16,2020-10-13,Pending,1800
95,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,283,2.44,47,Runtime,Low,2022-11-21,2022-05-15,Pending,3851
96,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,208,2.75,24,Performance,High,2020-02-27,2022-11-13,Pending,4947
97,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,236,2.27,26,Logic,High,2020-03-23,2020-09-28,In-Progress,1059
98,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,288,6.6,26,Runtime,Critical,2022-10-13,2024-06-23,Pending,4976
99,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,50,1.45,11,Security,Medium,2021-10-01,2020-09-21,Pending,3678
100,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,108,7.38,44,Runtime,Low,2021-07-15,2020-03-07,Verified,1258
101,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,244,1.82,50,Logic,Medium,2024-08-21,2020-09-26,Verified,3555
102,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,34,5.4,23,Compilation,Low,2023-11-05,2024-10-29,Verified,2943
103,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,102,3.0,42,Security,Medium,2022-09-23,2020-01-20,In-Progress,4927
104,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,97,4.13,33,Runtime,Low,2021-04-06,2021-12-28,Verified,1954
105,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,142,5.0,38,Syntax,Medium,2023-08-10,2023-04-30,Fixed,2993
106,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,10,1.97,31,Syntax,High,2023-03-25,2021-04-10,Pending,4540
107,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,28,8.57,12,Security,Critical,2021-07-19,2021-10-03,Verified,1917
108,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,205,8.36,6,Security,Low,2022-04-14,2024-06-29,Verified,3029
109,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,91,9.44,50,Logic,Medium,2024-09-15,2024-07-01,In-Progress,2475
110,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,11,3.8,42,Security,Low,2020-01-06,2020-09-02,Verified,2699
111,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,34,1.98,50,Syntax,Medium,2023-07-30,2023-03-02,Verified,3740
112,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,134,7.21,24,Runtime,High,2022-05-10,2023-02-22,Pending,2584
113,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,120,1.85,16,Syntax,Critical,2023-10-25,2022-07-09,Fixed,3231
114,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,184,7.26,31,Syntax,Critical,2024-01-28,2022-09-21,Pending,3213
115,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,188,7.11,25,Compilation,Low,2023-11-19,2020-12-03,Verified,1888
116,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,31,1.03,22,Performance,High,2020-02-11,2021-04-06,In-Progress,2042
117,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,44,6.78,13,Compilation,Critical,2022-09-25,2020-08-02,Pending,1256
118,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,11,2.43,7,Logic,Low,2022-11-11,2023-05-28,Verified,3454
119,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,177,7.74,49,Syntax,Low,2024-07-12,2020-09-05,Verified,3544
120,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,235,2.4,17,Performance,Low,2023-09-04,2020-02-05,Fixed,4656
121,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,13,7.3,15,Security,Low,2023-08-22,2022-09-06,Fixed,4694
122,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,167,3.28,6,Security,Low,2020-09-15,2021-03-03,Fixed,4418
123,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,93,4.77,24,Compilation,Low,2021-05-15,2023-07-09,Verified,4936
124,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,218,8.66,30,Security,High,2022-09-09,2020-11-03,Verified,1736
125,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,273,6.68,39,Runtime,Critical,2020-11-29,2022-03-10,Fixed,1308
126,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,fixed,109,1.93,24,Security,Critical,2022-12-30,2022-04-19,In-Progress,2475
127,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,297,2.65,26,Compilation,Low,2020-07-12,2021-11-23,In-Progress,2205
128,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,101,8.27,25,Syntax,Low,2021-09-17,2024-06-11,Verified,2595
129,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,buggy,28,4.07,23,Runtime,Critical,2022-07-19,2023-05-23,Verified,3811
130,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,131,3.87,38,Syntax,High,2024-07-03,2022-11-18,Fixed,4662
131,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,buggy,281,6.07,8,Performance,Critical,2022-10-10,2023-01-10,Pending,1523
132,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,166,2.71,25,Runtime,Critical,2024-08-20,2024-12-25,Pending,3868
133,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,160,6.51,44,Performance,Medium,2024-05-20,2021-01-18,In-Progress,2535
134,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,fixed,102,6.43,38,Logic,Low,2021-04-04,2023-09-13,Pending,4945
135,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,136,8.26,8,Runtime,High,2021-03-20,2020-03-31,In-Progress,1031
136,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,61,9.34,18,Security,High,2024-08-09,2024-04-05,Fixed,2233
137,C++,cout << Hello;,cout << 'Hello';,Missing quotes around string.,buggy,89,4.68,31,Compilation,Low,2023-04-20,2020-04-19,Verified,1110
138,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,296,1.55,25,Runtime,Critical,2024-11-05,2021-03-25,Fixed,2400
139,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,buggy,195,3.25,7,Performance,Critical,2024-03-22,2024-10-16,In-Progress,3595
140,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,225,4.7,38,Compilation,Low,2022-02-17,2023-06-27,In-Progress,4986
141,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,165,9.31,18,Logic,Medium,2020-06-26,2021-11-24,Verified,4223
142,JavaScript,"let x = 10;
if(x = 5) {console.log('Bug');}","let x = 10;
if(x === 5) {console.log('Bug');}",Incorrect comparison operator.,fixed,56,1.98,45,Security,High,2021-07-10,2021-02-19,Verified,3889
143,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,115,2.96,29,Logic,Critical,2020-10-17,2022-10-02,Pending,2349
144,Python,"def add(a, b): return a - b","def add(a, b): return a + b",Incorrect operator usage.,fixed,132,5.43,40,Security,Low,2023-06-01,2024-08-07,Fixed,4140
145,Java,if (x = 5) {System.out.println('Hello');},if (x == 5) {System.out.println('Hello');},Assignment instead of comparison.,buggy,144,1.72,12,Runtime,Low,2022-12-04,2023-05-01,In-Progress,3231
146,C,"for(int i=0; i<10; i++) printf('%d', i);","for(int i=0; i<10; i++) { printf('%d', i); }",Missing braces in loop.,fixed,108,8.6,23,Security,Medium,2020-07-24,2022-04-10,Verified,3505
